id,name,category,brand,type,cpu,gpu,ram,ssd,screen,batteryWh,batteryRuntime,demand,stock,rating,reviews,promo_vi,promo_en,price,oldPrice,condition_vi,condition_en,badge_vi,badge_en,specs_vi,specs_en,variants_json,color,image,sourceUrl
35,"Dell Latitude 7490 – i5-8350U, RAM 16GB, SSD 256GB, Giá Chỉ 6.5 Triệu",laptop-cu,Dell,catalog,i5-8350U,Intel UHD Graphics 620,16GB,256GB,"14""",60,4-6 giờ,office,3,"4,7",12,Hàng tuyển chọn tại Laptop OSCAR,Laptop OSCAR selected device,6.500.000,7500000,Máy cũ,Máy cũ,Liên hệ xác nhận hàng,Contact to confirm,"i5-8350U | 16GB RAM | 256GB SSD | 14""","i5-8350U | 16GB RAM | 256GB SSD | 14""",,#255f85,/product-images/056-dell-latitude-7490-i5-8350u-1-9dc296738555.jpg,https://nextgold.vn/dell-latitude-7490/
36,"ThinkPad X13 – i7-10610U, RAM 16GB, Màn Cảm Ứng, Giá Chỉ 8.8 Triệu",laptop-cu,Lenovo,catalog,i7-10610U,Intel UHD Graphics 620,16GB,256GB,"13.3""",48,3-5 giờ,student,3,"4,7",12,Hàng tuyển chọn tại Laptop OSCAR,Laptop OSCAR selected device,8.800.000,9800000,Máy cũ,Máy cũ,Liên hệ xác nhận hàng,Contact to confirm,"i7-10610U | 16GB RAM | 256GB SSD | 13.3"" Touch","i7-10610U | 16GB RAM | 256GB SSD | 13.3"" Touch",,#f15a24,/product-images/064-thinkpad-x13-i7-10610u-1-df340f148473.jpg,https://nextgold.vn/thinkpad-x13/
37,"ThinkPad T14 – i5-10310U, RAM 16GB, SSD 512GB, Giá Chỉ 7.8 Triệu",laptop-cu,Lenovo,catalog,i5-10310U,Intel UHD Graphics 620,16GB,512GB,"14""",50,4-7 giờ,office,3,"4,7",12,Hàng tuyển chọn tại Laptop OSCAR,Laptop OSCAR selected device,7.800.000,8800000,Máy cũ,Máy cũ,Liên hệ xác nhận hàng,Contact to confirm,"i5-10310U | 16GB RAM | 512GB SSD | 14""","i5-10310U | 16GB RAM | 512GB SSD | 14""",,#f15a24,/product-images/061-thinkpad-t14-i5-10310u-1-3b0a7990900a.png,https://nextgold.vn/thinkpad-t14/
38,"Dell Precision 5560 – Xeon W-11955M, RTX A2000, Màn 4K Touch, Giá 23.6 Triệu",laptop-cu,Dell,catalog,Xeon W-11955M,RTX A2000,8GB,256GB,"15.6""",86,2-4 giờ,gaming,3,"4,7",12,Hàng tuyển chọn tại Laptop OSCAR,Laptop OSCAR selected device,23.600.000,24600000,Máy cũ,Máy cũ,Liên hệ xác nhận hàng,Contact to confirm,"Xeon W-11955M | 8GB RAM | 256GB SSD | 15.6"" Touch 4K","Xeon W-11955M | 8GB RAM | 256GB SSD | 15.6"" Touch 4K",,#255f85,/product-images/086-dell-precision-5560-nextgold-3-57de226f1734.png,https://nextgold.vn/dell-precision-5560-xeon-w-11955m-rtx-a2000/
39,"ThinkPad P73 – i7-9850H, RTX 3000, Màn 17″, Hiệu Năng Cao",laptop-cu,Lenovo,catalog,i7-9850H,RTX 3000,8GB,256GB,"17""",99,2-4 giờ,gaming,3,"4,7",12,Hàng tuyển chọn tại Laptop OSCAR,Laptop OSCAR selected device,13.800.000,14800000,Máy cũ,Máy cũ,Liên hệ xác nhận hàng,Contact to confirm,"i7-9850H | 8GB RAM | 256GB SSD | 17"" | RTX 3000","i7-9850H | 8GB RAM | 256GB SSD | 17"" | RTX 3000",,#f15a24,/product-images/060-thinkpad-p73-1-979f62f84008.png,https://nextgold.vn/thinkpad-p73/
40,"Dell Latitude 5411 – i7-10850H, RAM 16GB, SSD 256GB, Giá 8.8 Triệu",laptop-cu,Dell,catalog,i7-10850H,Intel UHD Graphics 630,16GB,256GB,"14""",68,4-6 giờ,office,3,"4,7",12,Hàng tuyển chọn tại Laptop OSCAR,Laptop OSCAR selected device,8.800.000,9800000,Máy cũ,Máy cũ,Liên hệ xác nhận hàng,Contact to confirm,"i7-10850H | 16GB RAM | 256GB SSD | 14""","i7-10850H | 16GB RAM | 256GB SSD | 14""",,#255f85,/product-images/054-dell-latitude-5411-1-95c2fee26809.png,https://nextgold.vn/dell-latitude-5411/
41,"ThinkPad X1 Carbon Gen 8 – i7-10610U, RAM 16GB, Màn 2K, Giá 12.8 Triệu",laptop-cu,Lenovo,catalog,i7-10610U,Intel UHD Graphics 620,16GB,256GB,"14""",51,3-5 giờ,student,3,"4,7",12,Hàng tuyển chọn tại Laptop OSCAR,Laptop OSCAR selected device,12.800.000,13800000,Máy cũ,Máy cũ,Liên hệ xác nhận hàng,Contact to confirm,"i7-10610U | 16GB RAM | 256GB SSD | 14"" 2K","i7-10610U | 16GB RAM | 256GB SSD | 14"" 2K",,#f15a24,/product-images/062-thinkpad-x1-carbon-gen-8-1-915adee9768c.png,https://nextgold.vn/thinkpad-x1-carbon-gen-8/
42,"Dell XPS 13 7390 – i7-1065G7, RAM 16GB, 4K Touch, Nhôm Cao Cấp",laptop-cu,Dell,catalog,i7-1065G7,Intel Iris Plus Graphics,16GB,256GB,"13.3""",52,3-5 giờ,creator,3,"4,7",12,Hàng tuyển chọn tại Laptop OSCAR,Laptop OSCAR selected device,13.500.000,14500000,Máy cũ,Máy cũ,Liên hệ xác nhận hàng,Contact to confirm,"i7-1065G7 | 16GB RAM | 256GB SSD | 13.3"" Touch 4K","i7-1065G7 | 16GB RAM | 256GB SSD | 13.3"" Touch 4K",,#255f85,/product-images/059-dell-xps-13-7390-1-7f0a2e82c533.png,https://nextgold.vn/dell-xps-13-7390/
43,ThinkPad X1 Yoga Gen 4 | Laptop Doanh Nhân 2in1 Cao Cấp Chính Hãng,laptop-cu,Lenovo,catalog,i7-8665U,Intel UHD Graphics 620,8GB,256GB,"14""",51,3-5 giờ,student,3,"4,7",12,Hàng tuyển chọn tại Laptop OSCAR,Laptop OSCAR selected device,9.600.000,10600000,Máy cũ,Máy cũ,Liên hệ xác nhận hàng,Contact to confirm,"i7-8665U | 8GB RAM | 256GB SSD | 14"" 2-in-1","i7-8665U | 8GB RAM | 256GB SSD | 14"" 2-in-1",,#f15a24,/product-images/065-thinkpad-x1-yoga-1-cccb157dc288.png,https://nextgold.vn/thinkpad-x1-yoga-gen-4/
44,"Dell Latitude 9420 Máy cũ i7-1185G8, RAM 16GB, 1TB NVMe, Màn 2K Cảm Ứng",laptop-cu,Dell,catalog,i7-1185G8,Intel Iris Xe Graphics,16GB,1TB,"14"" 2K",60,4-6 giờ,office,3,"4,7",12,Hàng tuyển chọn tại Laptop OSCAR,Laptop OSCAR selected device,15.800.000,16800000,Máy cũ,Máy cũ,Liên hệ xác nhận hàng,Contact to confirm,"i7-1185G8 | 16GB RAM | 1TB SSD | 14"" 2K Touch 2K","i7-1185G8 | 16GB RAM | 1TB SSD | 14"" 2K Touch 2K",,#255f85,/product-images/057-dell-latitude-9420-1-814c22606da3.png,https://nextgold.vn/dell-latitude-9420/
